9797 businesses are not restaurants.
('Apn5Q_b6Nz61Tq4XzPdf9A', 'Minhas Micro Brewery')
('AjEbIBw6ZFfln7ePHha9PA', "CK'S BBQ & Catering")
('_c3ixq9jYKxhLUB0czi0ug', 'Original Hamburger Works')
('bBUMib8l6Me1ZB1_Qkezkg', 'Mysore Indian Cuisine')
('r89Re4FNgVWHgBfjCVZyVw', 'Harlow')
('3ByGQOVgds2YEu6kzl-XEQ', 'Rib Shop')
('cKRMmytHxaSt8F0SMEzKqg', "Manuel's Mexican Restaurant & Cantina - Bell Rd")
('f2FfutZhb4F-m1Ob0EdYaw', 'China Palace')
('YIez_A3WOt9J2SXN7OMa2Q', "Allwyn's Bakery")
('DcyeRzICLrMkrPpJDzjQ6Q', "Honey's Beestro")
('RcxVK_OEXv3MccIo0nYMZg', 'The Nest')
('WUA2Rhlb43HBw9sT2R0wmg', "Applebee's Grill + Bar")
('s2gjJKptpkmwSXYRtfptZQ', 'Whiskey Rose Bar & Grill')
('XjbPr3o-YTsticeavLjTEg', 'Hooters')
('AoItX6upESFG_EowRa05eg', 'Ave Maria Latin Café')
('Gv8u5bX_Kd7HG7jkeF_vWA', 'Ten Feet Tall')
('XeDLyY2a7nZ3IEY4RYslXA', 'Chicago Brewing Company')
('pIzuXtFdkj8fHuzJfYiwqw', "Chef's Cafe")
('ZP_1K8uC-YGbdPQ0KfNJog', 'Folly Brewpub')
('sOkQ2Y1-D8h18oN5NgxuLg', 'Haddies Car Wash and Convenience store')
('rreIYrzI9U052p7nN_qogA', 'Pittsburgh Poke')
('eva56motCJcevOwKzyQO1g', 'Schenley Park Visitors Center')
('2Zjr-wXPQJfw1Ew_ez8i0Q', 'Bavarian Deli')
('C4eRHCr7u-cv8B7OaMQKsg', 'Quickies Mobile Foods')
('lv5Bnqlt93NnvNJ2oNcQ8Q', 'Los Cucos Mexican Cafe')
('w5eLKjDBu8N_tHtXKe4j-g', "Ingrid's Lunch Box")
('yh_rFcdulytQ0b3LpoYxVQ', 'Khan Murjan Cafe')
('47me-6Zme7RYR0zEonfaHg', 'Texas de Brazil')
('ohYgabP6PqkNsF0vnZUxeg', "Janey's Coffee Co. & Bodega")
('V90fC_aF-_DNYzQvUtbLww', 'Jayde Fuzion')
('dFuesggbkAFUUnKcihT3vA', 'Bikinis Sports Bar & Grill')
('lHazo7qKEcSc62PMUW3oaw', "L'amère À Boire")
('webM3oChwDCkzZEmjrSeHQ', 'The Croissant Tree')
('wcNvlrB5xSxzXex2M3UyvQ', 'Hazelwoods First Place Sports Grill')
('YW8u4o3Kf42l-IoHZ-rL0A', 'Twisted Paddy')
('cBQOgU2UNdUI7JsyLPpzGw', 'The Hamptons Golf Club')
('mhcaplFScvQBEk50cmd3jg', 'Garden Deli')
('h7EShY2aJJYVa35GL_f62Q', "Uncle Bear's Grill & Bar")
('vFnzV9uy9nEXFQgkSuv_AQ', 'Taste of India')
('E2phfNtA9Zq52AOyMwnohg', 'Shamy Market & Bakery')
('cA5DOLBmD_XoNmgj7e3caA', 'Fox and Fiddle Yorkmills')
('yZ5yE5HV-BCAfI0pEi22eA', 'Foodslingers')
('0Phpwe_bkn8GdDBcEViAbg', 'Restaurant A Maison')
('rypyJ-Dzu21pejGkJaIrOQ', "Mary O'Neill's")
('JRDDRyu0g5FajmZmg4VZew', 'Sunrise Caribbean Restaurant')
('nUaLFTfUqVKMFQonsWBnag', "Fry's")
('irGLoauFcOhybI_pbhgIDQ', 'Smilez Jamaican Restaurant')
('-1CI4H3DLkI-NdWLbIae6g', 'Benny&Co.')
('4Y6CSQgPNeoz1_roKIUJ_A', "Blarney's Gate")
('q0kNcjGcHvEdd8-ccfwKoA', 'Sheraton Cleveland City Centre')
('iQ6ydwCOKHlz8BPpJpj2Zg', 'Yummi Café Laundromat')
('u0hZsa4CXeRDy2R4-dyJvg', 'Buffalo Wild Wings')
('hsRjct8UiUHU54B983GmcA', 'Robert Wholey and Co Fish Market')
('3C5cDapsxHKckHn5-cmCzg', 'Bob Evans')
('6NWdAJFfW3w-CqUQAcH0uw', 'Markham Food Fest')
('8NMf2dCmEGGKYR3SbMcnNA', 'Moga Crepes')
('ha_mea2KXpVgHwxD0RDLGQ', "JC's Steakhouse")
('wL5yGvlL1zXZ4EPJ8d0hIA', 'Rolltation')
('cKRGB46UJp3z3TgVlzk4tw', 'Sirena Taco Joint & Bar')
('jc8yrgtHvcNwdhc5HWGQ4A', 'QDOBA Mexican Eats')
('v_6nTF9bTkDcsh1dLnELMA', "BT'z Sports Bar")
('0aDCv4zPhzy7RklHDrnKQg', "Lucie's Lounge")
('1i2zvEyKaxoHX6CyR4WdrQ', 'The Chicken Shack')
('R48jl0K1LXHvIkz0YQK8pA', 'Casa Galicia')
('ljjBWO5u-frOjVC-6amy1w', 'Corner Cafe & Catering')
('4MGlJYAiP5RYHzyQozAeAA', 'Sean Patricks')
('SFyQhFEbmRMCJO_Sc_pyXA', 'The Draft Sports Grill')
('AhYG10mP_LOHePr_SC4Peg', "BB Jack's")
('u28SYjn6swe7A2DWdgZ7NQ', 'Peppers')
('MHDmbGEMu5Tv69UqOgIDSQ', 'Litchfield Park Library')
('8Bt72yFXGaIMda3MnuJ5Mg', 'William J Walter')
('astpBnUjzZEQEAvgn_113Q', 'Mind Games Cafe')
('cK1HL-8VreiF4K6ZcponLQ', "Walker's Pub")
('x_bhc4U_e6lv7Dat2WV04w', "O'Briens Sports Pub")
('4U9hnKTGidPKOSu_28m9dA', 'Merci Mon Ami')
('NFm869_w6cvVaWaNpAzjeA', 'Soul Gastrolounge')
('wHTPHng-wWg85AF_y8IDuQ', 'Feta & Olives')
('YYRP-b61hjDljhWBfmUlDg', 'KFC')
('oJ7mF-fW8GuEoUZ8BSA37Q', 'Aquatic Treasures')
('TS4YBX-Wd71lrN6lwKCj0Q', 'The Grill On Fulton')
('dn_ipqbm7_jUz5X3rDez_A', 'Todd English P.U.B.')
('5sKb4h7R5gdhePSflPD0Tw', 'Kiku Japanese Cuisine')
('jdylAP9AWIJVZ4O0T2YgIQ', 'Palm Palace')
('kBYBXh7M9wKXvHgluJWiLQ', "Annie's Tea House")
('FbayoQWK77lRJ7Luo2WKlA', 'Panda Express')
('LPnbHWVedn2oX3WGkHOJSQ', "Jason's Deli")
('pZyysYRFHP0oCOf6e1bVuw', 'Sparks Premium Grill + Bar')
('QNM7f0i2lW8cuJDQmqF9QQ', "Quinn's")
('dXwDDsQv3tMzw69pqmD-Vw', 'Cacao 70')
('rKh_Nl5edIB9AevqnDmO6g', 'Fireside Inn')
