47394 businesses are restaurants.
('O8S5hYJ1SMc8fA4QBtVujA', 'La Bastringue')
('6OuOZAok8ikONMS_T3EzXg', 'Thai One On')
('8-NRKkPY1UiFXW20WXKiXg', "Filiberto's Mexican Food")
('KapTdGyGs7RK0c68Z6hhhg', 'Sushi 8')
('tZnSodhPwNr4bzrwJ1CSbw', 'Southern Accent Restaurant')
('IbTDLI02Sq50C7B-EWK1sg', 'Safeway Food & Drug')
('vJIuDBdu01vCA8y1fwR1OQ', 'CakesbyToi')
('gJ5xSt6147gkcZ9Es0WxlA', "Rally's Hamburgers")
('CeuTRtwsq6w5rztGOyNMPg', 'Salsitas')
('gsoSAb9t7Ar7Ww6O_3GuOg', 'Los Toros Numero 2')
('PMDlKLd0Mxj0ngCpuUmE5Q', 'The Coffee Mill Restaurant')
('6YC6CsXRrmPv_iwfvc9onA', 'Teresas Pizzeria')
('42uRhhQDzbtKrUYoBPXS8A', 'Chicken Lips')
('kgffcoxT6BQp-gJ-UQ7Czw', 'Subway')
('0jtRI7hVMpQHpUVtUy4ITw', 'Omelet House Summerlin')
('UeyHx5LMFjjI4d-NTYkX9Q', "Crossroads Country Cafe'")
('qHF2s8U2yzPLgIOGH_IMBw', "John John's Seafood")
('AcGRSWCpb7YB95MTsHlGEw', 'Little Caesars Pizza')
('7A6mfqSfG3AG3WZcr45m-Q', 'Dunkin Donuts')
('Be7Mwq06nf1eNLblo1ekow', 'La Rosa Chilena')
('AYL_y8ahquUW0o-cvIyLbg', "Junior's Pizzeria")
('Aws6VX-PDsZoCw9oHpBMCg', 'Subway')
('JJEx5wIqs9iGGATOagE8Sg', 'Baja Fresh Mexican Grill')
('j7yI3qYRsbGBUv9rShLCaQ', 'Ice Cream Patio')
('mr3rQcYBKWu2L6o7qtQ9Wg', 'Hub Coffee House & Locavorium')
('qfcdMhm1Ff28JHVpHca20g', 'Pizza Bellagio')
('DqZzBPoiGt_FCTfNwPYwzw', "Regino's Pizza")
('U1xFNmJl4SVmKS1YYkneuA', 'Avenue Deli')
('cuXCQM-9VwpZlSneEY1b3w', 'Indian Street Food Company')
('Yy5uiC3WI6K4kDHONKh8_g', "Wendy's")
('zXRf_6Bs1yX9an_QKpzbHQ', 'McDonalds')
('F73T-N5lRNL2Gcpg0Q4KKw', 'Fat Ox')
('SUhBnQdG8MWkmjM6wsnVdw', 'Tang Dynasty Restaurant And Bar')
('pnYDtPaVw_xRBHm9y0y4gg', "Sammy's Beach Bar & Grill")
('hsWx7ya8jLMhi8ZWX23Thg', "Harvey's Restaurants")
('i2Fd0dl39BZ8nVxBnSPsKg', 'Anchor Bar')
('2j5hnwYzS-YLJn6IFqloCw', 'I Wings')
('OLg1IeS-QxZgNprQ4Hg9gg', 'Frite Alors')
('rFeJgbnLxtcdqIpBdhpxtQ', 'Vocé Ristorante and Lounge')
('zhxnD7J5_sCrKSw5cwI9dQ', 'Popeyes Louisiana Kitchen')
('c3ukNv4GHicrT6K9G2IW3w', "Wing's Express")
('2kWrSFkIes_d2BMg4YrRtA', 'Pizza Hut')
('6llKs7K_tn8ChXcIM-oTvg', 'Sansei Japan')
('_T8qy9XAKAFLJdmoLg1Q-g', 'Burrito Boyz')
('FI6XxleZ6Z1xJ9BS4zLKgQ', 'Chan Yang')
('G9nXLXhxqYFRD8kChMsYHg', "Long John Silver's")
